pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,3.3,NEUTRAL
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,2.9,NEUTRAL
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,3.1,NEUTRAL
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,3.2,NEUTRAL
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,3.8,CONTRADICTION
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.7,CONTRADICTION
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,4.6,ENTAILMENT
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,3.7,CONTRADICTION
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,4.8,ENTAILMENT
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,NEUTRAL
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,3.7,NEUTRAL
216,Two dogs are playing by a tree,There is no dog leaping in the air,2.7,NEUTRAL
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,3,NEUTRAL
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,4,NEUTRAL
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,3.3,NEUTRAL
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.5,NEUTRAL
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,3.3,NEUTRAL
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,3.9,CONTRADICTION
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,3.7,NEUTRAL
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,1.9,NEUTRAL
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,2.3,NEUTRAL
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,1.6,NEUTRAL
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,4.3,ENTAILMENT
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,4,NEUTRAL
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,3.6,NEUTRAL
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,2.5,NEUTRAL
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,3.2,CONTRADICTION
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,4.3,CONTRADICTION
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5,NEUTRAL
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,2.5,NEUTRAL
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,2.9,NEUTRAL
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,2.4,NEUTRAL
265,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,4.8,ENTAILMENT
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6,CONTRADICTION
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,3.2,NEUTRAL
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,3.8,NEUTRAL
273,A boy is standing in the cold water,A boy is standing in the water,4.1,ENTAILMENT
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,3.2,CONTRADICTION
277,A boy is standing in the water,The kid is swimming through the blue ocean,3,NEUTRAL
279,The boy is wading through the blue ocean,A boy is standing in the cold water,3.3,NEUTRAL
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6,CONTRADICTION
286,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,3,NEUTRAL
287,A man is playing a guitar on stage,A bald person is playing a guitar,3.8,NEUTRAL
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.4,NEUTRAL
291,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,4,NEUTRAL
293,Two young girls are sitting on the ground,Two girls are sitting on the ground,4.4,ENTAILMENT
296,Two girls are lying on the ground,Several children are sitting down and have their knees raised,2.8,NEUTRAL
301,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,2.9,CONTRADICTION
302,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,3.1,NEUTRAL
303,"A young, topless woman is covered in paint",A topless girl is covered in paint,4.4,ENTAILMENT
305,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,3.8,ENTAILMENT
309,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",3,NEUTRAL
310,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",4.2,NEUTRAL
311,A group of people is near the ocean,A crowd of people is near the water,4.3,ENTAILMENT
312,A crowd of people is near the water,A crowd of people is far from the water,3.8,CONTRADICTION
313,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,4.5,ENTAILMENT
315,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3,NEUTRAL
323,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,3.9,NEUTRAL
327,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5,NEUTRAL
329,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,1.3,NEUTRAL
331,A group of people is on a beach,A group of people is near the sea,4,ENTAILMENT
332,A group of people is on a beach,A group of people is on a mountain,2.6,NEUTRAL
333,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,4.5,ENTAILMENT
335,A group of people is on a beach,Four people are walking on the beach,4.6,NEUTRAL
338,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,1.4,NEUTRAL
339,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,4.3,ENTAILMENT
340,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,4.7,ENTAILMENT
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,3.7,CONTRADICTION
342,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,2.7,NEUTRAL
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,3.8,NEUTRAL
346,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,2.5,NEUTRAL
347,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,2.8,NEUTRAL
351,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,4.6,ENTAILMENT
354,Two dogs are running and carrying a toy in their mouths,Two dogs are running and carrying an object in their mouths,4.3,ENTAILMENT
358,A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,3.9,NEUTRAL
360,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,3.2,NEUTRAL
361,A dog is chasing another and is holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,4,ENTAILMENT
362,A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,4.5,ENTAILMENT
363,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,3.4,CONTRADICTION
366,A person who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,4.1,NEUTRAL
367,A soccer ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,3.2,NEUTRAL
370,A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,4.3,NEUTRAL
372,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,3.8,CONTRADICTION
373,A man with tattoos is lounging on a couch and holding a pencil,A tattooed man is on a sofa and is holding a pencil,4.4,ENTAILMENT
374,A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,2.9,NEUTRAL
375,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.6,NEUTRAL
377,A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,2.1,NEUTRAL
378,A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,2,NEUTRAL
379,A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,2.5,NEUTRAL
380,A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,1.6,NEUTRAL
381,A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,2.4,NEUTRAL
387,A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.8,NEUTRAL
390,A white and tan dog is running through the tall and green grass,A brown and white dog is running through the tall grass,4.6,ENTAILMENT
391,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.8,ENTAILMENT
392,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.1,CONTRADICTION
393,A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,3.7,NEUTRAL
395,A man is sitting near a bike and is writing a note,There is no man writing a note near a bike,4.2,CONTRADICTION
396,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,2.6,NEUTRAL
397,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.7,NEUTRAL
398,A man is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,3.1,NEUTRAL
403,A group of scouts are camping in the grass,A group of scouts are hiking through the grass,3.5,NEUTRAL
404,Some people are walking,People are walking,4.7,ENTAILMENT
409,Some people are walking,A group of scouts are camping in the grass,1.5,NEUTRAL
410,A group of scouts are hiking through the grass,Some people are walking,3.2,ENTAILMENT
413,Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,3,NEUTRAL
415,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,3.5,NEUTRAL
422,Two men are holding fishing poles and fishing tackle,Two men are holding fishing poles,4.3,ENTAILMENT
423,Two men are not holding fishing poles,Two men are holding fishing poles,3.2,CONTRADICTION
427,Two men are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.3,NEUTRAL
428,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,3.2,NEUTRAL
434,The helmeted girl is riding a bike,The helmeted girl is perching on a bike,4.2,NEUTRAL
435,A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.3,NEUTRAL
436,A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,2.4,NEUTRAL
438,The helmeted girl is perching on a bike,A woman is performing a trick on a ramp with a car,1.9,NEUTRAL
439,The girl with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,2.9,NEUTRAL
440,The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,3.7,NEUTRAL
441,A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,3.3,NEUTRAL
442,A blonds girl is surfing,A blond girl is riding the waves,4.7,ENTAILMENT
446,A lady is surfing and riding a wave,A boy is surfing and riding a wave,3.5,NEUTRAL
447,A woman is surfing,A blond girl is riding the waves,4,NEUTRAL
449,A lady is surfing and riding a wave,A blonds girl is surfing,3.6,NEUTRAL
451,A blond girl waves while she is riding,A lady is surfing and riding a wave,2.3,NEUTRAL
454,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,3.6,CONTRADICTION
457,Two children and an adult are standing next to a tree limb,Two children are climbing a tree,3,NEUTRAL
461,Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,2.7,NEUTRAL
462,A man dressed in black is riding a bike,A man is performing a trick on a bike,3.5,NEUTRAL
465,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,4.7,ENTAILMENT
470,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,3.4,NEUTRAL
473,A boy is holding a squirt gun,A child is holding a squirt gun,4.5,ENTAILMENT
475,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,4,NEUTRAL
476,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,4,CONTRADICTION
477,A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,3.9,ENTAILMENT
484,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,4.2,NEUTRAL
485,Two cats are playing with a red ball,Two daschunds are playing with a red ball,3.3,NEUTRAL
486,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,3.8,NEUTRAL
489,There is no dog playing with a red ball,Two daschunds are playing with a red ball,3,CONTRADICTION
491,The black and white dog is running and a person stands behind it,"The dog, which is black and white, is running and a person stands behind it",4.9,ENTAILMENT
494,A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it,4.8,ENTAILMENT
496,The black and white dog is running and a person stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,3,NEUTRAL
497,The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,2.9,NEUTRAL
499,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,2.7,NEUTRAL
500,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,2.5,NEUTRAL
505,A man wearing a dyed black shirt is sitting at the table and laughing,A black shirt is being worn by a man who is sitting at the table and laughing,4.7,ENTAILMENT
506,A man wearing a dyed black shirt is sitting at the table and laughing,"There is no man wearing a shirt dyed black, sitting at the table and laughing",3.7,CONTRADICTION
507,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,3.6,NEUTRAL
508,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,3.5,NEUTRAL
513,A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,2.4,NEUTRAL
514,A man is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,3.9,NEUTRAL
515,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,4.3,ENTAILMENT
516,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3.7,NEUTRAL
522,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.6,NEUTRAL
524,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.7,NEUTRAL
527,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",2.5,NEUTRAL
528,"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.7,ENTAILMENT
529,A biker is naked,A biker is wearing gear which is black,3.315,CONTRADICTION
531,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,4.8,ENTAILMENT
535,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,2.7,NEUTRAL
538,One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.6,NEUTRAL
541,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,4.9,ENTAILMENT
542,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.5,CONTRADICTION
545,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,3.1,NEUTRAL
548,A woman is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,2.5,NEUTRAL
550,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,3.1,NEUTRAL
551,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.9,NEUTRAL
552,A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5,NEUTRAL
555,"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.4,CONTRADICTION
556,A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",2.5,NEUTRAL
557,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,4.9,ENTAILMENT
560,A dark black dog and a light brown dog are playing in the yard in the back,"A dog, which is brown, and a black one are running in the grass",4,NEUTRAL
561,A dark black dog and a light brown dog are fighting in the backyard,"A dog, which is brown, and a black one are running in the grass",3.6,NEUTRAL
564,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,3.1,NEUTRAL
565,A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,2,NEUTRAL
568,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,4.1,NEUTRAL
570,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,4.5,ENTAILMENT
581,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,3.5,NEUTRAL
586,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,3.4,NEUTRAL
587,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.4,ENTAILMENT
588,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,3.4,NEUTRAL
597,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",2.8,NEUTRAL
599,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.4,NEUTRAL
601,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,3.8,NEUTRAL
603,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",5,ENTAILMENT
604,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.7,CONTRADICTION
605,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",3.3,NEUTRAL
606,"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,3.1,NEUTRAL
609,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",The teenage girl is wearing beads that are red,2.4,NEUTRAL
611,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",2.3,NEUTRAL
617,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,3.4,NEUTRAL
621,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,2.2,NEUTRAL
622,A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.1,NEUTRAL
625,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,3.9,NEUTRAL
626,A dad is launching his daughter into a swimming pool,A father is launching the daughter in a swimming pool,4.8,ENTAILMENT
628,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,3.2,NEUTRAL
629,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,4.8,ENTAILMENT
631,The man is tossing a kid into the swimming pool that is near the ocean,"A kid swimming in the ocean is tossing a coin into the pool, near the man",2.2,NEUTRAL
632,One man is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3.9,NEUTRAL
634,"A kid swimming in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,1.6,NEUTRAL
637,A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,2.515,NEUTRAL
