pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
3719,The person is peeling an onion,A person is peeling an onion,4.9,ENTAILMENT
3720,A person is peeling an onion,There is no person peeling an onion,4,CONTRADICTION
3725,The person is slicing onions,The person is peeling an onion,4.3,CONTRADICTION
3727,The person is slicing onions,A person is peeling an onion,4,NEUTRAL
3728,Several swimmers are dashing into the water,Several swimmers are jumping into the water,4.1,NEUTRAL
3736,Some racers are swimming in a lake,Several swimmers are jumping into the water,3.4,NEUTRAL
3737,Several swimmers are dashing into the water,Swimmers are racing in a lake,3.5,NEUTRAL
3739,Swimmers are racing in a lake,Several jumpers are swimming in the water,3.165,NEUTRAL
3740,Several swimmers are jumping into the water,Swimmers are racing in a lake,3.5,NEUTRAL
3742,A man is putting down the guitar,A man is playing a guitar,3.9,CONTRADICTION
3743,A woman is playing a guitar,A guitar is being played by a woman,4.7,ENTAILMENT
3746,There is no woman playing a guitar,A man is playing a guitar,3.4,NEUTRAL
3748,A man is putting down the guitar,A woman is playing a guitar,2.7,NEUTRAL
3750,A boy is looking at a calendar,A boy is staring at a calendar,4.2,ENTAILMENT
3751,A boy is looking at a calendar,There is no boy looking at a calendar,3.6,CONTRADICTION
3752,The boy is studying a calendar,A boy is studying a calendar,5,ENTAILMENT
3753,A boy is shredding a calendar,A boy is studying a calendar,3.3,NEUTRAL
3755,A boy is looking at a calendar,A boy is shredding a calendar,3.2,NEUTRAL
3756,A boy is studying a calendar,A boy is staring at a calendar,4.8,ENTAILMENT
3758,A boy is looking at a calendar,A boy is studying a calendar,4.5,ENTAILMENT
3759,A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,4.5,ENTAILMENT
3761,A person is throwing a cat at the ceiling,A cat is thrown at the ceiling by a person,4.9,ENTAILMENT
3762,A person is throwing a cat at the ceiling,A person is taking a cat down from the ceiling,2.7,NEUTRAL
3765,A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,4.4,ENTAILMENT
3766,There is no person throwing a cat at the ceiling,A person is throwing a cat at the ceiling,3.4,CONTRADICTION
3770,The woman is taking up and holding a baby kangaroo,The woman is picking up and holding a baby kangaroo,4.4,ENTAILMENT
3774,The woman is picking up and holding a baby kangaroo,"A woman is picking up and holding a kangaroo, which is a baby, in her arms",4.7,ENTAILMENT
3776,The woman is picking up and holding a baby kangaroo,A woman is picking up and holding a baby kangaroo in her arms,4.6,ENTAILMENT
3777,A woman is dancing and a man is playing the keyboard,The woman is dancing and a man is playing the keyboard,4.9,ENTAILMENT
3779,A woman is playing the keyboard and a man is dancing,A woman is dancing and a man is playing the keyboard,3.6,NEUTRAL
3780,A woman is gracefully dancing on a stage,A woman is dancing on a stage,4.5,ENTAILMENT
3781,A woman is walking off a stage,A woman is dancing on a stage,3.6,NEUTRAL
3783,A woman is gracefully dancing on a stage,A woman is dancing and a man is playing the keyboard,3.7,NEUTRAL
3784,A woman is dancing and a man is playing the keyboard,A woman is walking off a stage,1.9,NEUTRAL
3785,A woman is staging a dance,A woman is dancing and a man is playing the keyboard,3.1,NEUTRAL
3788,A woman is playing the keyboard and a man is dancing,A woman is dancing on a stage,3,NEUTRAL
3789,A woman is dancing and a man is playing the keyboard,A woman is dancing on a stage,3.4,NEUTRAL
3795,A woman is scrubbing a zucchini with a brush for vegetables,A person is scrubbing a zucchini,4.6,ENTAILMENT
3797,A person is scrubbing a zucchini,A woman is eating zucchini and vegetables and scrubbing with a brush,3.9,NEUTRAL
3799,A person is packing a zucchini,A woman is scrubbing a zucchini with a vegetable brush,2.7,NEUTRAL
3800,A woman is scrubbing a zucchini with a vegetable brush,A person is scrubbing a zucchini,4.7,ENTAILMENT
3801,A man in a cap is playing a harp,A man in a hat is playing a harp,5,ENTAILMENT
3803,A harp is being played with a hat by a man,A man in a hat is playing a harp,3.8,NEUTRAL
3804,A man is playing a guitar,A man is playing an instrument,4.3,ENTAILMENT
3805,A man is throwing away a guitar,A man is playing a guitar,3,NEUTRAL
3807,A man is throwing away a guitar,A man in a hat is playing a harp,2.3,NEUTRAL
3809,There is no man in a hat playing a harp,A man is playing a guitar,2.9,NEUTRAL
3814,A woman is peppering green slices,A woman is slicing a green pepper,3,NEUTRAL
3820,The woman with a knife is slicing a pepper,There is no woman slicing a green pepper,3.2,NEUTRAL
3821,A woman is peppering green slices,The woman with a knife is slicing a pepper,3,NEUTRAL
3823,A concentrated woman is playing flute,A woman is playing flute,4.3,ENTAILMENT
3825,The woman is playing a flute,A woman is playing a flute,5,ENTAILMENT
3826,The woman is putting away a flute,A woman is playing a flute,3.5,NEUTRAL
3827,A woman is playing flute,The woman is playing a flute,4.9,ENTAILMENT
3828,The woman is putting away a flute,A woman is playing flute,3.7,NEUTRAL
3831,A woman is playing a flute,A woman is playing flute,4.9,ENTAILMENT
3834,The man is riding a horse by a creek,The man is riding a horse by a stream,4.4,ENTAILMENT
3836,A horse is being ridden in a creek by a man,The man is riding a horse by a creek,4.6,ENTAILMENT
3838,The man is not riding a horse by a creek,A man is riding a horse,3.8,NEUTRAL
3839,A horse is being ridden in a creek by a man,A man is riding a horse,4.7,ENTAILMENT
3840,The man is riding a horse by a creek,A horse is being ridden by a man,4.3,ENTAILMENT
3844,A cat is playing a piano,A cat is sitting on a piano,3.6,NEUTRAL
3845,A cat is playing a piano,A cat song is being played on a piano,3.3,NEUTRAL
3846,The cat is playing keyboards,A cat is playing keyboards,5,ENTAILMENT
3847,A cat is playing keyboards,There is no cat playing keyboards,3.9,CONTRADICTION
3852,A cat is playing keyboards,A cat song is being played on a piano,2.9,NEUTRAL
3853,A cat is playing a piano,A cat is playing keyboards,4.4,ENTAILMENT
3856,The man is walking along a path through the wilderness,The man is walking along a track through the wilderness,4.7,ENTAILMENT
3857,The man is walking along a path through the wilderness,The man is not walking along a path through the wilderness,3.8,CONTRADICTION
3860,A man is walking down a road,The man is not walking along a path through the wilderness,3.7,NEUTRAL
3864,A man is walking down a road,The man is walking along a path through the wilderness,3.3,NEUTRAL
3866,A man is going into the water,A man is coming out of the water,3.1,NEUTRAL
3868,The man is dipping into a swamp,A man is rising from a swamp,3.8,NEUTRAL
3869,A man is escaping a rising swamp,A man is rising from a swamp,3.4,NEUTRAL
3870,The man is rising from a swamp,A man is coming out of the water,3.9,ENTAILMENT
3871,The man is dipping into a swamp,A man is coming out of the water,3.2,NEUTRAL
3872,A man is escaping a rising swamp,A man is coming out of the water,3.2,NEUTRAL
3873,A man is rising from a swamp,A person is coming out of the water,3.6,NEUTRAL
3874,A man is going into the water,A man is rising from a swamp,2.9,NEUTRAL
3882,A man is dangerously dancing on the ceiling of a room,A man is dancing upside-down on the ceiling,4,NEUTRAL
3883,A man is dancing upside-down on the ceiling,A man is idling on the floor,2.4,NEUTRAL
3884,A man is dancing upside-down on the ceiling,A man is dancing on the ceiling of a room,4.3,ENTAILMENT
3885,A man is dancing,A male is dancing,4.6,ENTAILMENT
3886,There is no man dancing,A man is dancing,4.4,CONTRADICTION
3887,A man is singing passionately,A man is singing,4.8,ENTAILMENT
3892,There is no man dancing,A man is singing,2.9,NEUTRAL
3893,A man is dancing,A man is singing,3.2,NEUTRAL
3895,The girl is lounging,A girl is exercising,3.015,NEUTRAL
3898,A girl is exercising,A man is doing exercise,3,NEUTRAL
3899,There is no man exercising,A girl is exercising,2.2,NEUTRAL
3901,The girl is lounging,A man is exercising,1.2,NEUTRAL
3904,A man is playing the guitar,A man is packing the guitar,3.5,NEUTRAL
3905,The man is singing heartily and playing the guitar,The man is singing and playing the guitar,4.3,ENTAILMENT
3908,A man is playing the guitar,The man is silent and still,3.1,NEUTRAL
3912,A few people are dancing,A group of people are dancing,4.5,ENTAILMENT
3914,The women are divinely dancing outside,The women are dancing outside,4.5,ENTAILMENT
3915,The women are not dancing outside,The women are dancing outside,3.3,CONTRADICTION
3917,The women are not dancing outside,A group of people are dancing,3.3,NEUTRAL
3920,The women are dancing outside,A group of people are dancing,3.8,ENTAILMENT
3921,Boys are dancing in front of some people,Young men are dancing in front of some people,4.4,NEUTRAL
3924,Two men are doing a funny skit with a boxer in front of a crowd of people,"Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people",5,ENTAILMENT
3929,Boys are dancing in front of some people,A funny crowd of people is doing a skit of two boxing men,1.4,NEUTRAL
3930,Young men are dancing in front of some people,Two men are doing a funny skit with a boxer in front of a crowd of people,2.9,NEUTRAL
3934,The boy is checking a calendar,A boy is checking a calendar,4.9,ENTAILMENT
3935,A boy is checking a calendar,There is no boy checking a calendar,3.2,CONTRADICTION
3936,A boy is attentively looking at a calendar,A boy is looking at a calendar,4.6,ENTAILMENT
3938,A boy is attentively looking at a calendar,A boy is checking a calendar,4.4,ENTAILMENT
3939,A boy is checking a calendar,A boy is throwing away a calendar,3.4,NEUTRAL
3940,The boy is checking a calendar,A boy is looking at a calendar,4.8,ENTAILMENT
3942,A boy is checking a calendar,A boy is looking at a calendar,4.6,ENTAILMENT
3943,The men are fighting with their fists in a ring,The men are fist fighting in a ring,4.8,ENTAILMENT
3947,The men are fist fighting in a ring,Two people are fist fighting in a ring,4.2,ENTAILMENT
3948,The men are fist fighting in a ring,Nobody is fist fighting in a ring,4.3,CONTRADICTION
3949,The men are fighting with their fists in a ring,Two men are fist fighting in a ring,4.8,ENTAILMENT
3951,Two men are fist fighting in a ring,The men are fist fighting in a ring,4.6,ENTAILMENT
3955,The boy is not riding a bike on the top of a metal fence,The boy is riding a bike on the top of a metal fence,3.5,CONTRADICTION
3956,The boy is riding a bike on the top of a metal fence,The riders are fencing in a boy's metal bike,2.6,NEUTRAL
3957,The boy is riding a bike on the top of a fence made of metal,A biker is riding along the top of a fence,3.8,ENTAILMENT
3958,The boy is not riding a bike on the top of a metal fence,A biker is riding along the top of a fence,2.9,NEUTRAL
3961,A biker is riding away from a fence,The boy is riding a bike on the top of a metal fence,2.9,NEUTRAL
3970,A woman is slicing a clove of garlic,A woman is washing a big pepper,2.4,NEUTRAL
3972,A child is slowly waking up,A child is waking up,4.5,ENTAILMENT
3973,A child is waking up,There is no child waking up,3,CONTRADICTION
3976,A girl is awakening,A child is waking up,4.4,ENTAILMENT
3980,A girl is waking up,A child is waking up,4.4,ENTAILMENT
3985,A tomato is being sliced by a woman,A woman is peeling a potato,3.3,NEUTRAL
3986,A woman is peeling a potato,There is no woman slicing a tomato,2.4,NEUTRAL
3987,A woman is slicing a tomato,The woman is peeling a potato,3.3,NEUTRAL
3990,A boy is skillfully playing a piano,A boy is playing a piano,4.1,ENTAILMENT
3992,A man is singing and playing a guitar,A person is singing and playing a guitar,4.9,ENTAILMENT
3993,A man is singing and playing a guitar,There is no man singing and playing a guitar,4,CONTRADICTION
3994,A man is singing and playing a guitar,Someone is singing about a man who plays the guitar,3.5,NEUTRAL
3995,A person is singing and playing a guitar,A boy is playing a piano,3.1,NEUTRAL
3998,A man is singing and playing a guitar,A boy is skillfully playing a piano,2.3,NEUTRAL
3999,A man is singing and playing a guitar,There is no boy playing a piano,1.885,NEUTRAL
4002,A man is climbing a rope,A man is coming down a rope,4.3,NEUTRAL
4004,A man is climbing up a rope,The man is climbing up a rope,4.9,ENTAILMENT
4007,A man is climbing a rope,The man is not climbing up a rope,2.9,NEUTRAL
4012,The woman is picking up a kangaroo that is little,The woman is picking up a baby kangaroo,4.5,ENTAILMENT
4013,The woman is picking up a baby kangaroo,The woman is not picking up a baby kangaroo,3,CONTRADICTION
4014,The woman is picking up a baby kangaroo,A kangaroo is picking up the woman's baby,2.835,NEUTRAL
4017,The woman is picking up the kangaroo,The kangaroo is picking up the woman,3.8,CONTRADICTION
4020,The woman is picking up a baby kangaroo,The kangaroo is picking up the woman,3,NEUTRAL
4021,The woman is picking up a kangaroo that is little,The woman is picking up the kangaroo,4.6,ENTAILMENT
4028,There is no man breaking wooden boards with his hand,A man is breaking wooden boards with his hand,4.5,CONTRADICTION
4033,Tiles are being broken with his hands by a man,A man is breaking wooden boards with his hand,3.7,NEUTRAL
4034,A man is repairing tiles with his hands,A man is breaking wooden boards with his hand,2.235,NEUTRAL
4036,A person is riding a jetski in the waves,The person is riding a jetski in the waves,5,ENTAILMENT
4037,A person is riding a jetski in the waves,There is no person riding a jetski in the waves,4,CONTRADICTION
4038,A Seadoo is being ridden by a woman,A woman is riding a Seadoo,5,ENTAILMENT
4040,A person is riding a jetski in the waves,A Seadoo is being ridden by a woman,3.9,NEUTRAL
4041,A person is riding a jetski in the waves,A woman is parking a Seadoo,2.6,NEUTRAL
4043,A woman is riding a Seadoo,There is no person riding a jetski in the waves,2.7,CONTRADICTION
4045,A man is dancing,A person is dancing,4.5,ENTAILMENT
4046,A man is standing still,A man is dancing,2.6,NEUTRAL
4047,A man is slowly dancing on the road,A man is dancing on the road,4.7,ENTAILMENT
4049,A man is slowly dancing on the road,A man is dancing,4.4,ENTAILMENT
4050,A man is dancing,There is no man dancing on the road,3.2,NEUTRAL
4056,A man is running on the road,The man is running on the road,4.8,ENTAILMENT
4058,The man is running on the road,A dog is running on the road,3.2,NEUTRAL
4061,There is no dog running on the road,A man is running on the road,2.3,NEUTRAL
4062,A dog is running on the road,A man is running on the road,3.7,NEUTRAL
4063,A man is outside and is throwing blades at a target which is close,A man is outside and is throwing blades at a close target,4.8,ENTAILMENT
4065,A man is outside close to a target for blade throwing,A man is outside and is throwing blades at a close target,3.9,NEUTRAL
4068,A man is outside and is throwing blades at a close target,The man is hurling knives at a tree,3.5,NEUTRAL
4069,A man is outside and is throwing blades at a close target,The man is removing knives from a tree,2.9,NEUTRAL
4071,The man is throwing knives at a tree,A man is inside the house and is throwing blades at a close target,3.7,NEUTRAL
4072,A man is outside close to a target for blade throwing,The man is throwing knives at a tree,3.5,NEUTRAL
4074,A horse is being ridden by a man,A man is riding a horse,5,ENTAILMENT
4076,One man is riding a horse,The man is riding a horse,5,ENTAILMENT
4083,A man is stopping a horse,The man is riding a horse,3.9,NEUTRAL
4084,The man is riding a horse,A man is riding a horse,5,ENTAILMENT
4085,A picture is being drawn by a man,A man is drawing a picture,4.9,ENTAILMENT
4087,A man is taking a picture of a drawing,A man is drawing a picture,2.865,NEUTRAL
4088,The person is painting,The person is drawing,3.4,NEUTRAL
4090,Someone is drawing a person,The person is drawing,4,ENTAILMENT
4094,A picture is being drawn by a man,The person is drawing,4.1,ENTAILMENT
4100,Someone is playing the guitar,Somebody is playing the guitar,4.8,ENTAILMENT
4102,Somebody is playing the guitar,Someone is playing a piano,2.8,NEUTRAL
4105,Someone is playing the guitar,Someone is dismantling a piano,2.2,NEUTRAL
4108,There is no man eating food,A man is eating some food,4.1,CONTRADICTION
4109,A man is eating a pizza,A pizza is being eaten by a man,4.9,ENTAILMENT
4112,There is no man eating a pizza,A man is eating some food,3.1,NEUTRAL
4113,A man is eating a pizza,Some food is being eaten by a man,4.4,ENTAILMENT
4115,A man is eating a pizza,A man is eating some food,4.2,ENTAILMENT
4117,A cute panda is lying down,A cute panda is not lying down,3.9,CONTRADICTION
4118,The panda bear is resting on the logs,The panda bear is lying on the logs,4.7,ENTAILMENT
4119,The panda bear is lying on the logs,The panda bear is not lying on the logs,2.8,CONTRADICTION
4120,The log is lying on the panda bear,The panda bear is lying on the logs,3.4,CONTRADICTION
4123,A cute panda is lying down,The log is lying on the panda bear,3.2,NEUTRAL
4125,The panda bear is lying on the logs,A cute panda is not lying down,3.7,CONTRADICTION
4126,A cute panda is lying down,The panda bear is lying on the logs,4,NEUTRAL
4127,A dog is jumping on a trampoline,A dog is bouncing on a trampoline,5,ENTAILMENT
4132,A dog is lying on a trampoline,A dog is bouncing on a trampoline,3.6,NEUTRAL
4134,There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,3.7,CONTRADICTION
4136,A man is doing back flips on a trampoline,A man is jumping on a trampoline,4.3,ENTAILMENT
4137,There is no man doing back flips on a trampoline,A man is doing back flips on a trampoline,3.5,CONTRADICTION
4141,A man is doing back flips on a trampoline,There are no kids jumping on a trampoline,3.1,NEUTRAL
4142,Several kids are jumping on a trampoline,A man is jumping on a trampoline,3.6,NEUTRAL
4145,A woman is slicing an onion,A woman is cutting an onion,4.9,ENTAILMENT
4146,There is no woman cutting an onion,A woman is cutting an onion,3.5,CONTRADICTION
4147,A woman is cutting meat,A woman is slicing some meat,4.9,ENTAILMENT
4148,A woman is cutting meat,A woman is not cutting meat,3.3,CONTRADICTION
4149,A woman is cutting an onion,A woman is slicing some meat,3,NEUTRAL
4152,A woman is cutting meat,There is no woman cutting an onion,2.4,ENTAILMENT
4154,A man is playing a wooden flute,A wooden flute is being played by a man,5,ENTAILMENT
4162,A man is playing a wooden flute,A man is playing the piano,3,NEUTRAL
4163,The man is cleaning the drawing on the board,The man is erasing the drawing on the board,4.6,ENTAILMENT
4165,The man is erasing the other man's work from the board,The man is erasing the other man's work from the panel,4.4,ENTAILMENT
